Name,"On Hand",Available,Reserved,SKU,Bin,Warehouse,Backorder,"Sell Ahead","On Order","Pending Return"
"Top Smart 12"" | Lace Front Synthetic Hair Topper 12FS8",4,4,0,JR6000_19,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Provocative | Synthetic Ponytail 24B22",4,4,0,JR633_14,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Playful | Synthetic Hair Wrap 12F",4,4,0,JR672A_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Playful | Synthetic Hair Wrap 24B/27C",4,4,0,JR672A_13,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Playful | Synthetic Hair Wrap 27B",4,4,0,JR672A_19,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Playful | Synthetic Hair Wrap 60",4,2,0,JR672A_35,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,2,0
"Playful | Synthetic Hair Wrap 613",4,4,0,JR672A_36,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Fun Bun | Synthetic Hair Wrap 12",4,4,0,JR676A_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Fun Bun | Synthetic Hair Wrap 12F",4,4,0,JR676A_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Fun Bun | Synthetic Hair Wrap 613",4,4,0,JR676A_39,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Essentially You | Synthetic Hair Topper (Full Mono) 56",4,4,0,JR700_24,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Blake Exclusive | Remy Human Hair Lace Front Wig (Hand-Tied) 12FS12",4,4,0,JR726A_13,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart French 18"" Exclusive Colors | Remy Human Hair Topper 6RN",4,4,0,JR741A_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Carrie Petite | Human Hair Lace Front Wig (Mono Top) 12FS12",4,3,0,JR751A_29,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart French XL 18"" | Remy Human Hair Topper (HT) 12FS8",4,4,0,JR754A_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"Silicone Sheet | 5x7 5X7",4,4,0,JRSIS5X7_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Silicone Sheet | 8x10 8X10",4,2,0,JRSIS8X10_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,1,0
"The Casual Softie NAVY",4,4,0,JRTCS_04,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"China Doll Long | Synthetic Wig (Basic Cap) RED",3,3,0,JR103L_06,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Tinsel Town | Synthetic Wig (Basic Cap) TINSEL-SILVER",3,3,0,JR110_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Icon | Synthetic Wig (Basic Cap) ORANGE",3,3,0,JR113_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Icon | Synthetic Wig (Basic Cap) ROYAL-BLUE",3,3,0,JR113_09,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Crush | Synthetic Ponytail (Clip In) 12",3,3,0,JR235_03,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Crush | Synthetic Ponytail (Clip In) 14/24",3,3,0,JR235_08,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Breathless | Synthetic Ponytail (Clip In) 24BT18",3,3,0,JR240_18,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Breathless | Synthetic Ponytail (Clip In) 6/33",3,1,0,JR240_38,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Breathless | Synthetic Ponytail (Clip In) 613",3,3,0,JR240_40,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Foxy | Synthetic Ponytail (Clip In) 33",3,3,0,JR248_25,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Foxy | Synthetic Ponytail (Clip In) 613",3,3,0,JR248_31,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Mimic | Synthetic Hair Wrap 10",3,3,0,JR292_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Mimic | Synthetic Hair Wrap 12F",3,1,0,JR292_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,2,0
"Mimic | Synthetic Hair Wrap 27T33B",3,3,0,JR292_22,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Mimic | Synthetic Hair Wrap 31T26",3,3,0,JR292_26,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"Mimic | Synthetic Hair Wrap 4",3,3,0,JR292_28,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"18"" easiVolume Remy Human Hair Extension (1 Piece) | Clip In 22MB",3,3,0,JR330_05,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) 101/48T",3,3,0,JR356_01,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) 14/24",3,3,0,JR356_06,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) 22MB",3,3,0,JR356_10,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) 24B/27CS10",3,3,0,JR356_11,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) 6",3,3,0,JR356_22,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) 8",3,3,0,JR356_27,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD 12"" | Synthetic Hair Topper (Mono Part) FS6/30/27",3,3,0,JR356_34,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiFringe (HD) | HF Synthetic Clip in Bangs (Mono Base) 33",3,3,0,JR357_14,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiFringe (HD) | HF Synthetic Clip in Bangs (Mono Base) 8",3,3,0,JR357_20,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD XL 18"" | HF Synthetic Hair Topper (Mono Top) 12FS8",3,3,0,JR358_04,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
"easiPart HD XL 18"" | HF Synthetic Hair Topper (Mono Top) 1B",3,2,0,JR358_07,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,2,0
"easiPart HD XL 12"" | Synthetic Hair Topper (Mono Top) 14/26S10",3,3,0,JR359_07,"JON RENAU | EASIHAIR","Beauty & Hair / Primary",0,0,0,0
